team_id,sport,lat,lon,team_name,channel
58,NFL,39.0489,-94.484,Kansas City Chiefs,CBS
59,NFL,34.0727,-118.241,Los Angeles Rams,FOX
60,NFL,47.5952,-122.332,Seattle Seahawks,FOX
61,NFL,39.0954,-84.516,Cincinnati Bengals,CBS
62,NFL,42.3402,-83.0458,Detroit Lions,FOX
63,MLB,33.7999,-117.883,Los Angeles Angels,Fox Sports West and Prime Ticket
64,MLB,37.7785,-122.39,San Francisco Giants,Comcast SportsNet Bay Area
65,MLB,39.7559,-104.994,Colorado Rockies,Root Sports Rocky Mountain
66,MLB,38.6223,-90.1939,St. Louis Cardinals,Fox Sports Midwest
67,MLB,33.4455,-112.067,Arizona Diamondbacks,Fox Sports Arizona
68,MLB,34.0727,-118.241,Los Angeles Dodgers,SportsNet LA
69,MLB,40.7563,-73.846,New York Mets,SportsNet New York
70,MLB,39.9055,-75.1666,Philadelphia Phillies,Comcast SportsNet Philadelphia
71,MLB,42.3392,-83.0495,Detroit Tigers,Fox Sports Detroit
72,MLB,42.3466,-71.097,Boston Red Sox,NESN
73,MLB,32.7511,-97.0825,Texas Rangers,Fox Sports Southwest
74,MLB,39.0979,-84.5082,Cincinnati Reds,Fox Sports Ohio
75,MLB,39.0511,-94.4811,Kansas City Royals,Fox Sports Kansas City
76,MLB,25.7787,-80.2203,Miami Marlins,Fox Sports Florida
77,MLB,43.028,-87.9712,Milwaukee Brewers,Fox Sports Wisconsin
78,MLB,29.757,-95.3548,Houston Astros,Root Sports Southwest
79,MLB,38.873,-77.0075,Washington Nationals,MASN2
80,MLB,37.7516,-122.201,Oakland Athletics,Comcast SportsNet California
81,MLB,39.284,-76.6216,Baltimore Orioles,MASN2
82,MLB,32.7077,-117.157,San Diego Padres,Fox Sports San Diego
83,MLB,40.4473,-80.0068,Pittsburgh Pirates,Root Sports Pittsburgh
84,MLB,41.4962,-81.6852,Cleveland Indians,SportsTime Ohio
85,MLB,43.6411,-79.3897,Toronto Blue Jays,
86,MLB,47.5914,-122.332,Seattle Mariners,Root Sports Northwest
87,MLB,44.9817,-93.2773,Minnesota Twins,ox Sports North
88,MLB,27.7682,-82.6535,Tampa Bay Rays,Fox Sports Florida
89,MLB,33.7348,-84.39,Atlanta Braves,Fox Sports South
90,MLB,41.8299,-87.6335,Chicago White Sox,Comcast SportsNet Chicago
91,MLB,41.9479,-87.6559,Chicago Cubs,FSN Chicago
92,MLB,40.8293,-73.9277,New York Yankees,YES Network
93,NHL,36.1592,-86.7786,Nashville Predators,Fox Sports Tennessee
94,NHL,45.2969,-75.9272,Ottawa Senators,
95,NHL,32.7906,-96.8103,Dallas Stars,Fox Sports Southwest
96,NHL,26.1583,-80.3256,Florida Panthers,Fox Sports Florida
97,NHL,45.4961,-73.5694,Montreal Canadiens,
98,NHL,43.6433,-79.3792,Toronto Maple Leafs,
99,NHL,42.875,-78.8764,Buffalo Sabres,MSG Network
100,NHL,40.4394,-79.9892,Pittsburgh Penguins,Root Sports Pittsburgh
101,NHL,33.5319,-112.261,Phoenix Coyotes,Fox Sports Arizona
102,NHL,49.8928,-97.1436,Winnipeg Jets,
103,NHL,33.8078,-117.877,Anaheim Ducks,Fox Sports West and Prime Ticket
104,NHL,42.3253,-83.0514,Detroit Red Wings,Fox Sports Detroit
105,NHL,40.7228,-73.5906,New York Islanders,MSG Plus
106,NHL,39.7486,-105.007,Colorado Avalanche,Altitude Sports and Entertainment
107,NHL,39.9693,-83.0061,Columbus Blue Jackets,Fox Sports Ohio
108,NHL,53.5714,-113.456,Edmonton Oilers,
109,NHL,35.8033,-78.7219,Carolina Hurricanes,Fox Sports Carolinas
110,NHL,49.2778,-123.109,Vancouver Canucks,Comcast SportsNet Northwest
111,NHL,51.0375,-114.052,Calgary Flames,
112,NHL,37.3328,-121.901,San Jose Sharks,Comcast SportsNet California
113,NHL,40.7336,-74.1711,New Jersey Devils,MSG Plus
114,NHL,38.6267,-90.2025,St. Louis Blues,Fox Sports Midwest
115,NHL,27.9428,-82.4519,Tampa Bay Lightning,Fox Sports Sun
116,NHL,34.0431,-118.267,Los Angeles Kings,Fox Sports West and Prime Ticket
117,NHL,40.7506,-73.9936,New York Rangers,MSG Network
118,NHL,41.8806,-87.6742,Chicago Blackhawks,Comcast SportsNet Chicago
119,NHL,44.9447,-93.1011,Minnesota Wild,ox Sports North
120,NHL,39.9011,-75.1719,Philadelphia Flyers,Comcast SportsNet Philadelphia
121,NHL,38.8981,-77.0208,Washington Capitals,Comcast SportsNet Mid-Atlantic
122,NHL,42.3663,-71.0622,Boston Bruins,NESN
